,D1,D1.2,D2,D3,D4,D5,D5.2,D7,Av,W. Av.
Number of pairs (k),106.3,2,108.2,26.9,26.9,6.4,10,56.4,-,-
Best Method(s),SiteAlign,SiteAlign \newline and KRIPO,SiteAlign,BindSiteS-CNN,SiteAlign,KRIPO,KRIPO,SiteAlign,SiteAlign,SiteAlign
Highest AUROC,0.97,1.00,1.00,0.91,0.8,0.76,0.77,0.87,0.83,0.92
-, , , , , , , , , , 
PocketVec,0.97,1.00,0.96,0.67,0.72,0.64,0.62,0.87,0.81,0.89
Deeplytough,0.95,0.98,0.90,0.76,0.75,0.67,0.63,0.83,0.81,0.87
FuzCav (MOL2),0.94,0.99,0.99,0.69,0.58,0.55,0.54,0.77,0.76,0.86
FuzCav (PDB),0.94,0.99,0.98,0.69,0.58,0.56,0.54,0.77,0.76,0.86
SiteAlign,0.97,1.00,1.00,0.85,0.80,0.59,0.57,0.87,0.83,0.92
KRIPO,0.66,0.60,0.66,0.38,0.36,0.46,0.36,0.71,0.68,0.61
TIFP (MOL2),0.98,0.98,0.91,0.66,0.58,0.41,0.54,0.63,0.73,0.74
TIFP (PDB),0.94,0.95,0.90,0.66,0.55,0.39,0.37,0.71,0.70,0.73
BindSites-CNN,0.94,0.98,0.91,0.79,0.74,0.60,0.60,0.86,0.83,0.88
Median Performance,0.94,0.99,0.90,0.69,0.58,0.55,0.54,0.77,0.76,0.86
Average Performance,0.86,0.95,0.92,0.67,0.57,0.52,0.51,0.77,0.74,0.82
